t,theta
0.0,1.4220001903699893
0.005,1.4342720366730746
0.01,1.4526798061277022
0.015,1.4710875755823298
0.02,1.4925633066127288
0.025,1.517106999218899
0.03,1.5447186534008406
0.035,1.573864288370668
0.04,1.6060778849162662
0.045,1.6382914814618648
0.05,1.6751070203711202
0.055,1.713456540068261
0.06,1.7518060597654022
0.065,1.7932235410383146
0.07,1.8346410223112268
0.075,1.8775924843720249
0.08,1.9220779272207085
0.085,1.966563370069392
0.09,2.0110488129180757
0.095,2.055534255766759
0.1,2.100019698615443
0.105,2.146039122252012
0.11,2.1905245651006955
0.115,2.2319420463736077
0.12,2.2748935084344057
0.125,2.3178449704952038
0.13,2.3577284709802306
0.135,2.397611971465257
0.14,2.4344275103745123
0.145,2.4727770300716534
0.15,2.5065246074051375
0.155,2.5387382039507362
0.16,2.5709518004963345
0.165,2.5985634546782763
0.17,2.624641128072332
0.17500000000000002,2.6491848206785025
0.18,2.6691265709210157
0.185,2.689068321163529
0.19,2.7028741482545
0.195,2.7166799753454707
0.2,2.725883860072784
0.20500000000000002,2.7335537640122127
0.21,2.736621725587984
0.215,2.7381557063758697
0.22,2.735087744800098
0.225,2.730485802436441
0.23,2.724349879284899
0.23500000000000001,2.713612013769699
0.24,2.701340167466614
0.245,2.6860003595877577
0.25,2.6691265709210157
0.255,2.6491848206785025
0.26,2.6261751088602177
0.265,2.6016314162540475
0.27,2.5770877236478773
0.275,2.54794208867805
0.28,2.5187964537082226
0.28500000000000003,2.48811683795051
0.29,2.4559032414049113
0.295,2.4221556640714272
0.3,2.386874105950058
0.305,2.351592547828688
0.31,2.3147770089194326
0.315,2.2779614700101773
0.32,2.2411459311009216
0.325,2.2043303921916664
0.33,2.167514853282411
0.335,2.12916533358527
0.34,2.0938837754639
0.34500000000000003,2.0586022173425302
0.35000000000000003,2.0233206592211608
0.355,1.9880391010997909
0.36,1.9558255045541926
0.365,1.9251458887964796
0.37,1.894466273038767
0.375,1.8668546188568254
0.38,1.8407769454627694
0.385,1.8177672336444848
0.39,1.7947575218262002
0.395,1.7748157715836868
0.4,1.7579419829169447
0.405,1.7426021750380885
0.41000000000000003,1.7303303287350031
0.41500000000000004,1.7211264440076894
0.42,1.713456540068261
0.425,1.7088545977046044
0.43,1.705786636128833
0.435,1.7073206169167185
0.44,1.71038857849249
0.445,1.713456540068261
0.45,1.7211264440076894
0.455,1.7287963479471176
0.46,1.739534213462317
0.465,1.7502720789775166
0.47000000000000003,1.7640779060684872
0.47500000000000003,1.7778837331594581
0.48,1.7947575218262002
0.485,1.8131652912808278
0.49,1.8315730607354554
0.495,1.8530487917658545
0.5,1.872990542008368
0.505,1.8960002538266525
0.51,1.919009965644937
0.515,1.9435536582511073
0.52,1.9680973508572777
0.525,1.9941750242513334
0.53,2.0202526976453896
0.535,2.047864351827331
0.54,2.073942025221387
0.545,2.1015536794033283
0.55,2.12916533358527
0.555,2.1567769877672114
0.56,2.1813206803733816
0.5650000000000001,2.2089323345553233
0.5700000000000001,2.2334760271614935
0.5750000000000001,2.2580197197676637
0.58,2.282563412373834
0.585,2.3055731241921187
0.59,2.3285828360104035
0.595,2.3485245862529167
0.6,2.3700003172833157
0.605,2.388408086737943
0.61,2.405281875404685
0.615,2.420621683283542
0.62,2.435961491162398
0.625,2.448233337465483
0.63,2.4605051837685683
0.635,2.4697090684958822
0.64,2.475844991647425
0.645,2.483514895586853
0.65,2.4865828571626243
0.655,2.4896508187383954
0.66,2.4911847995262812
0.665,2.4896508187383954
0.67,2.4865828571626243
0.675,2.4819809147989673
0.68,2.4773789724353104
0.685,2.4697090684958822
0.6900000000000001,2.4605051837685683
0.6950000000000001,2.4513012990412544
0.7000000000000001,2.440563433526055
